NR;NR_X;TIME;SEX;AgeGroup;COUNTRY_HDI
8;;2022;M;Y15-64;ER
8;;2021;T;TOTAL;GN
8;;2021;T;Y0-14;AF
8;;2021;T;Y15-64;GN
9;;2021;T;Y15-64;CI
9;;2021;T;Y0-14;PK
9;;2021;T;TOTAL;CI
9;;2021;M;TOTAL;ER
9;;2021;M;TOTAL;CI
9;;2021;F;Y0-14;TOTAL_HDI_L
9;;2021;M;Y15-64;CI
9;;2021;M;Y15-64;ER
9;;2023;F;TOTAL;NG
9;;2024;F;Y15-64;NG
9;;2024;T;Y0-14;PK
9;;2023;F;Y15-64;NG
10;;2023;M;TOTAL;GN
10;;2023;M;TOTAL;SN
10;;2023;M;Y15-64;GN
10;;2023;M;Y15-64;SN
10;;2024;F;TOTAL;NG
10;;2024;M;Y15-64;CD
10;;2022;T;Y15-64;ER
10;;2022;T;TOTAL;ER
10;;2022;F;Y0-14;TOTAL_HDI_L
10;;2021;M;Y0-14;TOTAL_HDI_L
11;;2021;T;TOTAL;ER
11;;2021;T;Y15-64;ER
11;;2022;F;Y15-64;PK
11;;2024;M;TOTAL;CD
11;;2023;T;Y15-64;GN
11;;2023;T;Y15-64;SN
11;;2023;T;TOTAL;SN
11;;2023;T;TOTAL;GN
12;;2021;F;Y15-64;PK
13;;2021;F;Y15-64;AF
13;;2022;F;TOTAL;PK
13;;2022;M;Y0-14;TOTAL_HDI_L
13;;2022;T;Y0-14;AF
14;;2021;F;TOTAL;PK
16;;2024;T;Y15-64;CD
17;;2024;T;TOTAL;CD
18;;2023;F;Y15-64;PK
19;;2021;T;Y0-14;TOTAL_HDI_L
19;;2023;F;TOTAL;PK
20;;2022;F;Y15-64;AF
20;;2021;F;TOTAL;AF
22;;2024;M;Y15-64;SN
22;;2024;M;TOTAL;SN
23;;2022;T;Y0-14;TOTAL_HDI_L
24;;2024;T;TOTAL;SN
24;;2024;T;Y15-64;SN
25;;2024;F;Y15-64;PK
28;;2024;F;TOTAL;PK
28;;2024;F;Y0-14;AF
28;;2021;M;Y15-64;AF
28;;2022;F;TOTAL;AF
29;;2021;M;TOTAL;AF
29;;2023;F;Y0-14;AF
30;;2023;F;Y0-14;TOTAL_HDI_L
31;;2023;M;Y0-14;AF
32;;2024;F;Y0-14;TOTAL_HDI_L
33;;2024;M;Y15-64;NG
33;;2021;M;Y15-64;NG
33;;2021;M;TOTAL;NG
33;;2022;M;Y15-64;AF
33;;2022;M;Y15-64;NG
33;;2022;M;TOTAL;NG
34;;2024;M;TOTAL;NG
34;;2024;M;Y0-14;AF
38;;2023;M;Y15-64;NG
38;;2023;M;TOTAL;NG
38;;2022;M;TOTAL;AF
38;;2022;T;Y15-64;NG
38;;2022;T;TOTAL;NG
38;;2021;F;Y15-64;TOTAL_HDI_L
38;;2021;T;Y15-64;NG
38;;2021;T;TOTAL;NG
39;;2023;M;Y0-14;TOTAL_HDI_L
41;;2021;T;Y15-64;AF
42;;2024;T;Y15-64;NG
43;;2024;M;Y0-14;TOTAL_HDI_L
44;;2024;T;TOTAL;NG
45;;2022;F;Y15-64;TOTAL_HDI_L
47;;2021;F;TOTAL;TOTAL_HDI_L
47;;2023;T;TOTAL;NG
47;;2023;T;Y15-64;NG
49;;2021;T;TOTAL;AF
53;;2022;T;Y15-64;AF
54;;2023;F;Y15-64;AF
55;;2022;F;TOTAL;TOTAL_HDI_L
60;;2023;T;Y0-14;AF
62;;2024;T;Y0-14;AF
66;;2022;T;TOTAL;AF
69;;2023;T;Y0-14;TOTAL_HDI_L
73;;2024;F;Y15-64;AF
75;;2024;T;Y0-14;TOTAL_HDI_L
76;;2023;M;Y15-64;AF
84;;2023;F;TOTAL;AF
92;;2023;F;Y15-64;TOTAL_HDI_L
101;;2024;M;Y15-64;AF
103;;2024;F;TOTAL;AF
108;;2023;M;TOTAL;AF
123;;2023;F;TOTAL;TOTAL_HDI_L
125;;2024;F;Y15-64;TOTAL_HDI_L
130;;2023;M;Y15-64;PK
130;;2023;T;Y15-64;AF
136;;2022;M;Y15-64;PK
137;;2023;M;TOTAL;PK
138;;2024;M;TOTAL;AF
141;;2021;M;Y15-64;PK
143;;2022;M;TOTAL;PK
